,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NumberOfUse,BuildingAge,SiteEnergyUse(log(kBtu))
279,409,NonResidential,Office,Downtown,1984,1.0,6,109830,13200,96630,Office,83485.0,Parking,13200.0,Retail Store,5000.0,45.0,275.8999939,7335905.5,0.0,7335905.0,0.0,Compliant,Not outlier,51.14,0.47,4,32,15.808291411156079
280,410,NonResidential,Hotel,Downtown,1973,1.0,19,332067,59280,272787,Hotel,332067.0,Without,0.0,Without,0.0,6.0,251.3000031,37785552.0,15586014.0,19800542.0,2398995.0,Compliant,Not outlier,1468.5,4.42,1,43,17.44743736530206
281,411,NonResidential,Office,Downtown,1910,1.0,10,130513,0,130513,Office,87391.0,Retail Store,32264.0,Restaurant/Bar,10858.0,49.0,204.1000061,11651200.0,631029.0,6846996.0,4173175.0,Compliant,Not outlier,318.08,2.44,3,106,16.27091973696325
282,412,NonResidential,Office,Downtown,1920,1.0,8,60660,0,60660,Office,41958.0,Retail Store,4800.0,Without,0.0,,173.6999969,2586116.0,0.0,2586116.0,0.0,Compliant,Not outlier,18.03,0.3,2,96,14.765667694229785
283,413,NonResidential,Office,Downtown,1929,1.0,14,137350,0,137350,Office,124508.0,Without,0.0,Without,0.0,89.0,125.4000015,6366084.5,2258855.25,4107229.0,0.0,Compliant,Not outlier,202.99,1.48,1,87,15.6664951603773
284,414,NonResidential,Office,Downtown,1929,1.0,15,151039,0,151039,Office,125473.0,Without,0.0,Without,0.0,84.0,92.30000305,5446624.0,2850077.75,2596546.0,0.0,Compliant,Not outlier,238.09,1.58,1,87,15.510506525160007
285,415,NonResidential,Office,Downtown,1985,1.0,30,755000,134662,620338,Office,643083.0,Parking,126891.0,Restaurant/Bar,13422.0,72.0,217.1000061,52226204.0,519390.0,43199963.0,8506844.0,Compliant,Not outlier,793.05,1.05,5,31,17.77109491923403
286,416,NonResidential,Office,Downtown,1906,1.0,4,63540,0,63540,Office,56747.0,Without,0.0,Without,0.0,72.0,154.5,3518459.5,0.0,2428286.0,1090173.0,Compliant,Not outlier,74.83,1.18,1,110,15.073533809735595
287,417,NonResidential,Office,Downtown,1927,1.0,10,130893,0,130893,Office,87925.0,Supermarket/Grocery Store,27177.0,Hospital/Residential Care Facility,6644.0,80.0,179.6000061,6962073.0,0.0,6962072.0,0.0,Compliant,Not outlier,48.54,0.37,3,89,15.755987832791224
288,418,NonResidential,Mixed Use Property,Downtown,1910,1.0,5,79920,0,79920,Office,39960.0,Retail Store,26640.0,Other,13320.0,,118.1999969,3009463.75,0.0,3009464.0,0.0,Compliant,Not outlier,20.98,0.26,3,106,14.917272464707187
289,419,Campus,Mixed Use Property,Downtown,1908,1.0,4,137400,0,137400,Retail Store,44078.0,Restaurant/Bar,19182.0,Multifamily Housing,14380.0,,306.6000061,14940504.0,0.0,10344729.0,4595774.0,Compliant,Not outlier,316.2,2.3,9,108,16.519586472039695
290,420,NonResidential,Other,Downtown,1996,1.0,6,147852,86429,61423,Parking,64821.0,Retail Store,40629.0,Restaurant/Bar,13039.0,,407.7000122,9671619.0,0.0,7122619.0,2548999.0,Compliant,Not outlier,185.03,1.25,4,20,16.084706278441324
291,421,NonResidential,Other,Downtown,1996,1.0,4,267335,166960,100375,Parking,166960.0,Entertainment,69947.0,Restaurant/Bar,27400.0,,189.3999939,7273155.5,0.0,5169902.0,2103253.0,Compliant,Not outlier,147.75,0.55,3,20,15.799700799356353
293,423,NonResidential,Office,Downtown,1980,1.0,36,794592,36606,794592,Office,748011.0,Parking,36606.0,Other,9975.0,96.0,108.6999969,26689658.0,0.0,26031451.0,658204.0,Compliant,Not outlier,216.43,0.27,3,36,17.099786707510674
294,424,NonResidential,Office,Downtown,1971,1.0,21,456304,93204,363100,Office,342952.0,Parking,106466.0,Without,0.0,74.0,177.6000061,19397324.0,0.0,19397322.0,0.0,Compliant,Not outlier,135.23,0.3,2,45,16.780645676374885
295,425,NonResidential,Office,Downtown,1986,1.0,12,115857,15140,100717,Office,104788.0,Parking,11844.0,Restaurant/Bar,528.0,89.0,141.8000031,4757299.5,0.0,4757299.0,0.0,Compliant,Not outlier,33.17,0.29,3,30,15.375190733281174
296,426,NonResidential,Office,Downtown,1999,1.0,4,87500,17500,70000,Office,70090.0,Other,1672.0,Without,0.0,72.0,199.1000061,4549892.0,0.0,4549891.0,0.0,Compliant,Not outlier,31.72,0.36,2,17,15.330614054381687
297,427,NonResidential,Office,Downtown,1998,1.0,11,374405,184776,189629,Office,150969.0,Laboratory,41829.0,Without,0.0,72.0,217.1000061,13329024.0,0.0,13329022.0,0.0,Compliant,Not outlier,92.92,0.25,2,18,16.405454471169726
298,428,NonResidential,Other,Downtown,1985,1.0,12,193500,38000,155500,Other,146689.0,Without,0.0,Without,0.0,,309.0,14436982.0,0.0,14436981.0,0.0,Compliant,Not outlier,100.65,0.52,1,31,16.485303666814747
299,429,NonResidential,Office,Downtown,1923,1.0,11,102846,0,102846,Office,93879.0,Retail Store,7500.0,Without,0.0,96.0,98.5,5327249.5,3480880.75,1846369.0,0.0,Compliant,Not outlier,281.55,2.74,2,93,15.488345621671106
300,430,NonResidential,Office,Downtown,1925,1.0,4,52800,0,52800,Office,38880.0,Restaurant/Bar,12960.0,Without,0.0,83.0,123.0999985,2429021.0,0.0,1831932.0,597088.0,Compliant,Not outlier,44.48,0.84,2,91,14.702998853480079
302,433,NonResidential,Retail Store,Downtown,1929,1.0,8,861702,0,861702,Retail Store,509342.0,Other,380639.0,Without,0.0,,56.0,17666646.0,2927935.25,14736955.0,1753.0,Compliant,Not outlier,328.83,0.38,2,87,16.68718901303628
303,434,NonResidential,Other,East,1999,1.0,5,206950,97400,109550,Other,206950.0,Without,0.0,Without,0.0,,277.5,19295226.0,1631750.25,17663475.0,0.0,Compliant,Not outlier,249.09,1.2,1,17,16.775368265764246
305,436,NonResidential,Other,East,1988,1.0,9,46710,0,46710,Hospital/Residential Care Facility,46710.0,Without,0.0,Without,0.0,,220.3000031,4169431.5,1447314.625,2722116.0,0.0,Compliant,Not outlier,130.69,2.8,1,28,15.243290253545826
306,437,NonResidential,Medical Office,East,1945,1.0,3,266000,104000,162000,Hospital/Residential Care Facility,162000.0,Parking,104000.0,Without,0.0,65.0,244.1999969,13911761.0,476741.8125,11902958.0,1532059.0,Compliant,Not outlier,201.15,0.76,2,71,16.448245155455233
307,438,NonResidential,Medical Office,East,1992,1.0,14,690158,407795,282363,Hospital/Residential Care Facility,270384.0,Parking,270383.0,Without,0.0,58.0,245.6999969,21156670.0,0.0,21156669.0,0.0,Compliant,Not outlier,147.49,0.21,2,24,16.86746578016928
308,439,NonResidential,Mixed Use Property,Lake union,2001,1.0,6,378443,177660,200783,Parking,164332.0,Office,108781.0,Data Center,54184.0,100.0,874.0999756,55073120.0,0.0,53506520.0,1566594.0,Compliant,Not outlier,456.22,1.21,6,15,17.824172314799974
309,440,NonResidential,Mixed Use Property,Lake union,2001,1.0,6,213834,104922,108912,Parking,104922.0,Data Center,54385.0,Office,37721.0,100.0,2217.800049,75073888.0,0.0,74917352.0,156525.0,Compliant,Not outlier,530.59,2.48,6,15,18.13398335986916
310,441,NonResidential,Hotel,Lake union,1979,1.0,5,109017,29409,79608,Hotel,109017.0,Without,0.0,Without,0.0,34.0,199.1000061,9474745.0,0.0,5625395.0,3849350.0,Compliant,Not outlier,243.66,2.24,1,37,16.064140395641846
311,443,NonResidential,Office,Magnolia / queen anne,1981,1.0,5,275734,38452,237282,Office,228504.0,Parking,47404.0,Without,0.0,77.0,225.0,16373232.0,0.0,16373229.0,0.0,Compliant,Not outlier,114.14,0.41,2,35,16.611158364190818
312,444,NonResidential,Warehouse,Greater duwamish,2001,1.0,1,123061,0,123061,Warehouse,123061.0,Without,0.0,Without,0.0,59.0,50.70000076,1987934.625,0.0,1987934.0,0.0,Compliant,Not outlier,13.86,0.11,1,15,14.502606780849087
313,446,NonResidential,Distribution Center,Greater duwamish,1963,1.0,1,59090,0,59090,Distribution Center,40272.0,Office,18818.0,Without,0.0,45.0,71.40000153,2756214.75,0.0,634386.0,2121829.0,Compliant,Not outlier,117.11,1.98,2,53,14.829368828979865
314,447,NonResidential,Warehouse,Greater duwamish,1963,1.0,1,106000,0,106000,Warehouse,106001.0,Without,0.0,Without,0.0,93.0,22.60000038,763364.5,0.0,763364.0,0.0,Compliant,Not outlier,5.32,0.05,1,53,13.545490915723127
316,451,NonResidential,Distribution Center,Greater duwamish,1960,1.0,1,119661,0,119661,Distribution Center,118733.0,Without,0.0,Without,0.0,97.0,20.5,775729.1875,0.0,774965.0,764.0,Compliant,Not outlier,5.44,0.05,1,56,13.561558753075444
317,452,NonResidential,Office,Lake union,2001,1.0,7,139200,44728,94472,Office,82098.0,Without,0.0,Without,0.0,81.0,166.1000061,4342597.0,0.0,4342597.0,0.0,Compliant,Not outlier,30.27,0.22,1,15,15.283983114211193
319,456,NonResidential,Office,Magnolia / queen anne,1996,2.0,5,213283,115228,98055,Office,105563.0,Parking,0.0,Without,0.0,83.0,168.3999939,5661689.5,0.0,5661689.0,0.0,Compliant,Not outlier,39.47,0.19,2,20,15.549232903870847
320,457,NonResidential,Office,Lake union,2001,1.0,3,103697,47656,56041,Office,63199.0,Without,0.0,Without,0.0,7.0,350.2999878,11319836.0,0.0,4904243.0,6415592.0,Compliant,Not outlier,374.92,3.62,1,15,16.242067143001854
323,460,NonResidential,Office,North,1983,1.0,5,122250,0,122250,Office,91281.0,Education,30177.0,Office,5931.0,93.0,136.3999939,5535626.0,0.0,5535625.0,0.0,Compliant,Not outlier,38.59,0.32,4,33,15.526715216194043
325,462,NonResidential,Office,Delridge,1960,1.0,3,55593,0,55593,Office,55593.0,Without,0.0,Without,0.0,55.0,186.6999969,4224872.5,0.0,2842549.0,1382323.0,Compliant,Not outlier,93.23,1.68,1,56,15.256499640803268
326,463,NonResidential,Office,Lake union,1982,1.0,4,134056,60960,73096,Office,72066.0,Parking,59137.0,Without,0.0,54.0,204.6000061,4695139.0,0.0,4695138.0,0.0,Compliant,Not outlier,32.73,0.24,2,34,15.362038276150043
327,464,NonResidential,Retail Store,Greater duwamish,2005,1.0,1,158415,0,158415,Retail Store,158415.0,Without,0.0,Without,0.0,25.0,358.6000061,22394416.0,0.0,15927634.0,6466780.0,Compliant,Not outlier,454.49,2.87,1,11,16.924322200034133
328,465,NonResidential,Office,Lake union,1929,1.0,8,287819,0,287819,Office,155985.0,Data Center,88350.0,Other,15630.0,,550.7000122,48406556.0,0.0,48155040.0,251511.0,Compliant,Not outlier,349.07,1.21,4,87,17.695145817059178
329,466,NonResidential,Other,East,1975,1.0,8,158738,0,158738,Hospital/Residential Care Facility,158738.0,Without,0.0,Without,0.0,,1026.599976,61762380.0,5650343.5,46528618.0,9571816.0,Compliant,Not outlier,1268.87,7.99,1,41,17.938804999207722
330,492,NonResidential,Office,Magnolia / queen anne,1985,1.0,4,86995,28800,58195,Office,58195.0,Parking,28800.0,Without,0.0,81.0,161.3999939,2991674.75,0.0,2991674.0,0.0,Compliant,Not outlier,20.86,0.24,2,31,14.911343905616718
332,468,NonResidential,Office,Lake union,2009,1.0,5,184482,66234,118248,Office,118016.0,Parking,66234.0,Other,1595.0,95.0,148.5,5671256.0,0.0,5651060.0,20195.0,Compliant,Not outlier,40.47,0.22,3,7,15.550921167927571
333,469,NonResidential,Laboratory,Lake union,1928,1.0,3,55200,0,55200,Laboratory,54880.0,Data Center,320.0,Without,0.0,,504.5,11594121.0,0.0,7500378.0,4093742.0,Compliant,Not outlier,269.71,4.89,2,88,16.266008717259993
334,470,NonResidential,Laboratory,Lake union,2003,1.0,4,241159,111793,129366,Laboratory,176171.0,Without,0.0,Without,0.0,,442.7999878,33713876.0,0.0,20388923.0,13324952.0,Compliant,Not outlier,849.83,3.52,1,13,17.333420061318357
335,471,NonResidential,Office,Lake union,2004,1.0,6,139282,52582,86700,Office,79384.0,Parking,52582.0,Office,3027.0,96.0,117.3000031,3238216.0,0.0,3238216.0,0.0,Compliant,Not outlier,22.57,0.16,5,12,14.990533118839197
336,473,NonResidential,Office,Lake union,2009,1.0,5,271071,98700,172371,Office,168132.0,Parking,96918.0,Hospital/Residential Care Facility,16862.0,96.0,131.5,7851334.5,0.0,7695280.0,156054.0,Compliant,Not outlier,61.93,0.23,3,7,15.876194075310229
337,474,NonResidential,Warehouse,Lake union,1914,1.0,5,127800,0,127800,Warehouse,127800.0,Without,0.0,Without,0.0,56.0,64.40000153,2767491.0,0.0,2545590.0,221900.0,Compliant,Not outlier,29.53,0.23,1,102,14.83345169152712
338,475,NonResidential,Office,Lake union,2002,1.0,5,560516,206597,353919,Office,372503.0,Parking,189133.0,Without,0.0,71.0,202.1999969,30083496.0,0.0,20922584.0,9160910.0,Compliant,Not outlier,632.4,1.13,2,14,17.219487273696753
339,476,NonResidential,Office,Lake union,2001,1.0,6,226592,95000,131592,Office,131592.0,Parking,83178.0,Without,0.0,49.0,281.6000061,11963428.0,0.0,11719809.0,243618.0,Compliant,Not outlier,94.64,0.42,2,15,16.29736488749208
341,480,NonResidential,Mixed Use Property,Lake union,2003,1.0,5,159700,50654,109046,Other,72407.0,Parking,49314.0,Office,37406.0,,650.5999756,31371618.0,0.0,20355803.0,11015812.0,Compliant,Not outlier,726.96,4.55,4,13,17.261414156777473
342,481,NonResidential,Office,Lake union,2006,1.0,4,209816,73673,136143,Office,113803.0,Parking,79091.0,Sport center,15803.0,97.0,135.1999969,6917478.5,0.0,5303806.0,1613672.0,Compliant,Not outlier,122.68,0.58,4,10,15.749561882579117
343,482,NonResidential,Office,Lake union,2006,1.0,6,303103,109905,193198,Office,178628.0,Parking,99368.0,Office,6015.0,97.0,123.6999969,7519466.5,0.0,7147457.0,372009.0,Compliant,Not outlier,69.59,0.23,3,10,15.833005749260431
344,484,NonResidential,Mixed Use Property,Lake union,1954,1.0,3,67380,0,67380,Warehouse,29732.0,Office,17372.0,Entertainment,13639.0,66.0,94.19999695,2755829.0,0.0,1566221.0,1189608.0,Compliant,Not outlier,74.1,1.1,5,62,14.829228862746604
345,487,NonResidential,Laboratory,Lake union,1963,1.0,4,102235,0,102235,Laboratory,103135.0,Without,0.0,Without,0.0,,559.5,24395228.0,0.0,15355254.0,9039972.0,Compliant,Not outlier,587.16,5.74,1,53,17.009898097365895
346,488,NonResidential,Mixed Use Property,Lake union,2008,1.0,5,436497,153684,282813,Laboratory,175364.0,Parking,173235.0,Office,88901.0,,417.0,45252356.0,0.0,29992691.0,15259662.0,Compliant,Not outlier,1019.53,2.34,3,8,17.627765293053148
347,489,NonResidential,Office,Magnolia / queen anne,1974,1.0,5,88062,20826,67236,Office,64752.0,Parking,21396.0,Without,0.0,80.0,165.6000061,3415561.25,0.0,3415561.0,0.0,Compliant,Not outlier,23.81,0.27,2,42,15.043852385945963
348,490,NonResidential,Office,Magnolia / queen anne,1972,1.0,5,87178,20416,66762,Office,66648.0,Parking,15167.0,Without,0.0,69.0,171.1000061,3632613.75,0.0,3632614.0,0.0,Compliant,Not outlier,25.32,0.29,2,44,15.105462988457965
350,493,NonResidential,Office,Magnolia / queen anne,1971,1.0,5,88000,21600,66400,Office,69691.0,Parking,17487.0,Without,0.0,75.0,157.0,3484915.5,0.0,3484915.0,0.0,Compliant,Not outlier,24.29,0.28,2,45,15.063954355110925
351,494,NonResidential,Medical Office,Northeast,1988,1.0,4,196749,88405,108344,Hospital/Residential Care Facility,108344.0,Parking,88405.0,Without,0.0,5.0,411.5,19165116.0,0.0,11703547.0,7461566.0,Compliant,Not outlier,477.87,2.43,2,28,16.76860230947871
352,495,NonResidential,Medical Office,Northeast,1994,1.0,4,191276,95281,95995,Hospital/Residential Care Facility,95995.0,Without,0.0,Without,0.0,21.0,266.3999939,8422861.0,0.0,8005293.0,417567.0,Compliant,Not outlier,77.99,0.41,1,22,15.946460114727522
353,496,NonResidential,Self-Storage Facility,Ballard,1946,2.0,2,111445,0,111445,Self-Storage Facility,111445.0,Without,0.0,Without,0.0,,103.0,5697472.5,0.0,3007514.0,2689958.0,Compliant,Not outlier,163.83,1.47,13,70,15.55553321341196
354,497,NonResidential,Warehouse,Southwest,1997,1.0,4,98475,0,98475,Warehouse,98475.0,Without,0.0,Without,0.0,83.0,27.89999962,1090496.625,0.0,768997.0,321500.0,Compliant,Not outlier,22.44,0.23,1,19,13.90214376970844
355,498,NonResidential,Hospital,Lake union,2000,1.0,7,351530,150455,201075,Hospital/Residential Care Facility,215602.0,Without,0.0,Without,0.0,23.0,467.6000061,42709624.0,0.0,26781892.0,15927728.0,Compliant,Not outlier,1032.63,2.94,1,16,17.56993483922001
356,500,NonResidential,Supermarket/Grocery Store,North,1995,1.0,2,308965,187878,121087,Supermarket/Grocery Store,121087.0,Parking,0.0,Parking,0.0,78.0,310.2000122,14512786.0,0.0,10680826.0,3831959.0,Compliant,Not outlier,277.98,0.9,2,21,16.49054061194311
357,503,NonResidential,Supermarket/Grocery Store,Greater duwamish,2008,1.0,1,63225,0,63225,Supermarket/Grocery Store,63225.0,Without,0.0,Without,0.0,100.0,323.8999939,6522551.5,0.0,6522551.0,0.0,Compliant,Not outlier,45.47,0.72,1,8,15.690776191707346
358,504,Nonresidential COS,Other,Delridge,1955,1.0,1,113780,0,113780,Other,91532.0,Office,22248.0,Without,0.0,,60.0,3574542.25,0.0,1470885.0,2103657.0,Compliant,Not outlier,121.98,1.07,2,61,15.089347683954133
360,508,NonResidential,Other,Lake union,2001,1.0,3,280252,156312,123940,Parking,156312.0,Office,116440.0,Retail Store,7500.0,,291.8999939,11521702.0,0.0,11521701.0,0.0,Compliant,Not outlier,80.32,0.29,3,15,16.259742945374644
362,514,NonResidential,Retail Store,Northwest,1997,1.0,1,131387,0,131387,Retail Store,107931.0,Without,0.0,Without,0.0,72.0,234.5,8773058.0,0.0,7704514.0,1068542.0,Compliant,Not outlier,110.46,0.84,1,19,15.987195992282102
363,515,NonResidential,Warehouse,Northwest,1999,1.0,3,94400,0,94400,Warehouse,67155.0,Without,0.0,Without,0.0,38.0,33.5,784364.5,0.0,680865.0,103500.0,Compliant,Not outlier,10.24,0.11,1,17,13.572629114758502
365,517,NonResidential,Supermarket/Grocery Store,Northwest,1984,1.0,1,144776,0,144776,Supermarket/Grocery Store,144776.0,Without,0.0,Without,0.0,56.0,246.1999969,13424079.0,0.0,10307295.0,3116783.0,Compliant,Not outlier,237.39,1.64,1,32,16.41256059265393
366,518,NonResidential,Retail Store,Northwest,1967,1.0,1,114000,0,114000,Retail Store,57805.0,Supermarket/Grocery Store,56312.0,Without,0.0,79.0,302.0,17225444.0,0.0,7836595.0,9388848.0,Compliant,Not outlier,553.27,4.85,2,49,16.66189815101945
368,520,NonResidential,Office,Lake union,1988,1.0,3,124071,28645,95426,Office,96504.0,Without,0.0,Without,0.0,73.0,162.3999939,4991360.5,0.0,4989211.0,2149.0,Compliant,Not outlier,34.9,0.28,1,28,15.42321907585731
369,521,NonResidential,Office,Lake union,2000,1.0,4,90000,36528,53472,Office,90000.0,Without,0.0,Without,0.0,84.0,136.0,3897738.0,0.0,3897737.0,0.0,Compliant,Not outlier,27.17,0.3,1,16,15.175906942834809
370,522,NonResidential,Office,Lake union,2001,1.0,3,96041,33709,62332,Office,62232.0,Parking,33709.0,Without,0.0,70.0,273.1000061,5413418.0,0.0,5413417.0,0.0,Compliant,Not outlier,37.74,0.39,2,15,15.504391244301475
371,523,NonResidential,Office,Lake union,1999,1.0,3,280957,114829,166128,Office,152579.0,Parking,93893.0,Data Center,7500.0,96.0,211.3000031,11325513.0,0.0,10986553.0,336610.0,Compliant,Not outlier,94.47,0.34,4,17,16.242568526320692
372,524,NonResidential,Office,Lake union,1999,1.0,4,243334,103032,140302,Office,138995.0,Parking,24549.0,Without,0.0,89.0,187.3999939,8651835.0,0.0,8116657.0,535178.0,Compliant,Not outlier,85.01,0.35,2,17,15.973281995138148
374,526,NonResidential,Office,Greater duwamish,1982,1.0,5,390295,121375,268920,Office,243018.0,Parking,108408.0,Without,0.0,95.0,99.30000305,7683885.0,0.0,7683884.0,0.0,Compliant,Not outlier,53.57,0.14,2,34,15.854635836595133
375,527,NonResidential,Warehouse,Greater duwamish,1967,1.0,2,90000,0,90000,Warehouse,70000.0,Office,20000.0,Without,0.0,87.0,46.20000076,1429146.375,0.0,1272922.0,156224.0,Compliant,Not outlier,17.17,0.19,2,49,14.172587883436698
376,528,NonResidential,Retail Store,Greater duwamish,1966,1.0,1,50200,0,50200,Retail Store,50200.0,Without,0.0,Without,0.0,,43.0,1047461.0,0.0,507461.0,540000.0,Compliant,Not outlier,32.22,0.64,1,50,13.86187969858174
377,529,NonResidential,Office,Ballard,1925,1.0,6,94033,6200,87833,Office,53993.0,Retail Store,24744.0,Parking,4500.0,,130.8999939,4758198.0,0.0,2871051.0,1887147.0,Compliant,Not outlier,120.24,1.28,5,91,15.375379583102777
378,530,NonResidential,Warehouse,Ballard,1941,1.0,2,63240,0,63240,Warehouse,63240.0,Without,0.0,Without,0.0,100.0,6.599999905,227566.7031,0.0,85409.0,142158.0,Compliant,Not outlier,8.15,0.13,1,75,12.335198674837853
379,532,NonResidential,Other,Ballard,2008,1.0,5,322869,182454,140415,Parking,182454.0,Retail Store,130744.0,Without,0.0,,308.3999939,17085344.0,0.0,10708106.0,6377238.0,Compliant,Not outlier,413.35,1.28,2,8,16.65373157794984
381,534,NonResidential,Warehouse,Magnolia / queen anne,1997,1.0,4,106041,0,106041,Warehouse,106041.0,Without,0.0,Without,0.0,94.0,25.70000076,1123943.0,0.0,739343.0,384600.0,Compliant,Not outlier,25.58,0.24,1,19,13.932353596406116
382,536,NonResidential,Self-Storage Facility,Magnolia / queen anne,1956,1.0,3,94470,0,94470,Self-Storage Facility,94470.0,Without,0.0,Without,0.0,,20.70000076,1000796.875,0.0,432859.0,567938.0,Compliant,Not outlier,33.18,0.35,1,60,13.816307115627964
383,538,NonResidential,Office,Downtown,2002,1.0,10,181694,38186,143508,Office,150840.0,Parking,26946.0,Other,2155.0,88.0,156.8000031,7637986.0,0.0,7637985.0,0.0,Compliant,Not outlier,53.25,0.29,3,14,15.848644513825358
384,539,NonResidential,Retail Store,Northeast,1987,1.0,2,69492,0,69492,Retail Store,69800.0,Other,0.0,Without,0.0,100.0,14.30000019,318962.8125,0.0,318963.0,0.0,Non-Compliant,Low outlier,2.22,0.03,1,29,12.672829799736451
385,540,NonResidential,Warehouse,Greater duwamish,1966,1.0,1,22780,0,22780,Warehouse,22780.0,Without,0.0,Without,0.0,33.0,55.40000153,402051.3125,0.0,402051.0,0.0,Compliant,Not outlier,2.8,0.12,1,50,12.904335002490305
389,545,NonResidential,Distribution Center,Greater duwamish,1969,1.0,1,57540,0,57540,Distribution Center,57540.0,Without,0.0,Without,0.0,26.0,94.69999695,2582687.0,0.0,1310981.0,1271706.0,Compliant,Not outlier,76.68,1.33,1,47,14.764340887809405
390,546,NonResidential,Warehouse,Greater duwamish,1966,1.0,1,85400,0,85400,Warehouse,85400.0,Without,0.0,Without,0.0,49.0,56.5,1536998.25,0.0,1536998.0,0.0,Compliant,Not outlier,10.72,0.13,1,50,14.245341883938432
391,547,NonResidential,Warehouse,Greater duwamish,1966,1.0,1,55700,0,55700,Warehouse,55700.0,Without,0.0,Without,0.0,63.0,29.29999924,519806.0938,0.0,519806.0,0.0,Compliant,Not outlier,3.62,0.06,1,50,13.161211124475946
393,549,NonResidential,Office,Magnolia / queen anne,1987,1.0,6,78672,28427,50245,Office,78672.0,Without,0.0,Without,0.0,98.0,79.30000305,2179719.75,0.0,1888502.0,291217.0,Compliant,Not outlier,28.63,0.36,1,29,14.594706871455491
394,550,NonResidential,Warehouse,Northwest,1986,1.0,3,64660,0,64660,Warehouse,64660.0,Without,0.0,Without,0.0,89.0,13.0,325513.0,0.0,237813.0,87700.0,Compliant,Not outlier,6.32,0.1,1,30,12.693157678389305
395,551,NonResidential,Mixed Use Property,East,1927,1.0,2,75844,19928,55916,Other,28442.0,Office,28441.0,Parking,18961.0,,193.1999969,3684188.5,0.0,3406851.0,277337.0,Compliant,Not outlier,38.48,0.51,3,89,15.119560842257892
396,552,NonResidential,Distribution Center,Greater duwamish,1968,1.0,1,161678,0,161678,Distribution Center,162425.0,Without,0.0,Without,0.0,25.0,142.0,9357230.0,0.0,6332002.0,3025227.0,Compliant,Not outlier,204.81,1.27,1,48,16.051659864483902
397,553,NonResidential,Distribution Center,Greater duwamish,1949,1.0,1,101101,0,101101,Distribution Center,101101.0,Without,0.0,Without,0.0,1.0,676.5999756,21795830.0,0.0,21779250.0,16577.0,Compliant,Not outlier,152.71,1.51,1,67,16.897229225058453
399,555,NonResidential,Other,Greater duwamish,1940,1.0,1,56608,0,56608,Other,45340.0,Office,11520.0,Without,0.0,,250.3999939,5094197.0,0.0,4253264.0,840932.0,Compliant,Not outlier,74.31,1.31,2,76,15.443612606722327
401,557,NonResidential,Supermarket/Grocery Store,Northwest,2003,1.0,1,58184,7450,50734,Supermarket/Grocery Store,51722.0,Parking,0.0,Without,0.0,41.0,620.2000122,14715262.0,0.0,7956442.0,6758820.0,Compliant,Not outlier,414.43,7.12,2,13,16.50439574445213
402,558,NonResidential,Supermarket/Grocery Store,North,1980,1.0,1,58480,0,58480,Supermarket/Grocery Store,44431.0,Without,0.0,Without,0.0,37.0,581.9000244,11054535.0,0.0,6817771.0,4236763.0,Compliant,Not outlier,272.54,4.66,1,36,16.21835130897384
404,562,NonResidential,Retail Store,Lake union,1996,1.0,4,264008,159994,104014,Retail Store,98863.0,Without,0.0,Without,0.0,42.0,260.0,9937707.0,0.0,7307906.0,2629800.0,Compliant,Not outlier,190.61,0.72,1,20,16.11184686791646
407,565,NonResidential,Office,Northeast,2006,1.0,3,102290,42440,59850,Office,83715.0,Parking,18575.0,Without,0.0,26.0,223.6999969,6062770.5,0.0,5913177.0,149593.0,Compliant,Not outlier,49.17,0.48,2,10,15.617677431789199
408,566,NonResidential,Other,Central,1926,1.0,3,80004,0,80004,Other,74864.0,Without,0.0,Without,0.0,,513.0,12232124.0,0.0,12232122.0,0.0,Compliant,Not outlier,85.28,1.07,1,90,16.31957616388432
409,568,NonResidential,Warehouse,Greater duwamish,1991,1.0,2,323916,0,323916,Warehouse,263528.0,Office,60388.0,Without,0.0,92.0,48.90000153,8024064.5,0.0,3548085.0,4475979.0,Compliant,Not outlier,262.45,0.81,2,25,15.897955646976447
411,570,NonResidential,Office,Lake union,1978,1.0,4,85385,31210,54175,Office,50235.0,Parking,25525.0,Data Center,2875.0,,287.0,4855036.5,0.0,4855036.0,0.0,Compliant,Not outlier,33.85,0.4,3,38,15.39552717770196
412,571,NonResidential,Distribution Center,Greater duwamish,1989,1.0,2,98024,0,98024,Distribution Center,63896.0,Office,33712.0,Without,0.0,94.0,50.79999924,1988334.5,0.0,1373037.0,615298.0,Compliant,Not outlier,42.25,0.43,2,27,14.502807911601948
413,572,NonResidential,Mixed Use Property,Lake union,1928,1.0,1,65000,15000,50000,Office,20000.0,Parking,15000.0,Other,10000.0,,203.5,2603931.25,0.0,1612547.0,991384.0,Compliant,Not outlier,63.89,0.98,3,88,14.772532880272358
