,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NumberOfUse,BuildingAge,SiteEnergyUse(log(kBtu))
1755,23313,NonResidential,Office,East,1956,1.0,3,21282,0,21282,Office,19658.0,Without,0.0,Without,0.0,69.0,123.9000015,1245923.75,762542.3125,483381.0,0.0,Compliant,Not outlier,62.23,2.92,1,60,14.03538778063035
1757,23320,NonResidential,Other,Southeast,1921,1.0,2,41022,0,41022,Other,41022.0,Without,0.0,Without,0.0,,289.8999939,3787648.25,0.0,3787648.0,0.0,Compliant,Not outlier,26.41,0.64,1,95,15.147255869947928
1760,23397,NonResidential,Other,Delridge,1966,1.0,2,28109,0,28109,Other,28109.0,Without,0.0,Without,0.0,,382.2999878,3612526.75,0.0,3326281.0,286245.0,Compliant,Not outlier,38.39,1.37,1,50,15.0999180162197
1762,23331,NonResidential,Office,North,1985,1.0,3,33580,12990,20590,Office,20590.0,Parking,12990.0,Without,0.0,100.0,62.5,409578.4063,0.0,409579.0,0.0,Compliant,Not outlier,2.86,0.09,2,31,12.922883632323598
1766,23342,NonResidential,Warehouse,North,1977,1.0,1,21936,0,21936,Warehouse,21936.0,Without,0.0,Without,0.0,100.0,12.30000019,113130.0,0.0,71827.0,41303.0,Compliant,Not outlier,2.69,0.12,1,39,11.636292878920512
1767,23343,NonResidential,Other,North,1969,1.0,1,30160,0,30160,Other,30139.0,Without,0.0,Without,0.0,,53.40000153,1045838.5,0.0,244597.0,801241.0,Compliant,Not outlier,44.26,1.47,1,47,13.860329513980908
1773,23368,NonResidential,Mixed Use Property,Downtown,1909,1.0,11,111137,0,111137,Office,42939.0,Multifamily Housing,40878.0,Office,10887.0,,198.3000031,9546165.0,0.0,4602455.0,4943709.0,Compliant,Not outlier,294.65,2.65,5,107,16.071650061125187
1779,23404,NonResidential,Office,East,1959,1.0,3,25151,0,25151,Office,24155.0,Without,0.0,Without,0.0,85.0,116.3000031,1356874.75,748984.6875,607890.0,0.0,Compliant,Not outlier,62.05,2.47,1,57,14.120694635367785
1780,23408,NonResidential,Hotel,East,1928,1.0,6,35770,0,35770,Hotel,35770.0,Without,0.0,Without,0.0,56.0,112.9000015,2640980.25,0.0,605147.0,2035833.0,Compliant,Not outlier,112.34,3.14,1,88,14.786660713023362
1782,23410,NonResidential,Hotel,East,1928,1.0,9,48006,0,48006,Hotel,48006.0,Without,0.0,Without,0.0,85.0,137.6000061,3239754.0,0.0,1533438.0,1706316.0,Compliant,Not outlier,101.31,2.11,1,88,14.991007958960067
